q torque X Z Y vX vZ pasEffectue 
0.067486 3580.875529 -0.000881 0.105327 1.034670 -0.001141 -0.429590 1
1.003776 8146.554056 -0.000881 0.105327 1.034670 -0.001141 -0.429062 1
1.424044 10377.091433 -0.000881 0.105327 1.034670 -0.001141 -0.429062 1
1.830458 12777.129315 -0.000881 0.105327 1.034670 -0.001141 -0.429062 1
2.175057 14988.714666 -0.001039 0.111398 1.034141 -0.010508 -0.475655 1
1.959126 17204.323632 -0.001039 0.111398 1.034141 -0.010508 -0.474928 1
2.019249 17575.717882 -0.001039 0.111398 1.034141 -0.010508 -0.474928 1
2.031355 17858.404451 -0.001256 0.118128 1.031399 -0.014270 -0.521960 1
1.597169 13104.416837 -0.001256 0.118128 1.031399 -0.014270 -0.521068 1
1.615078 13282.735165 -0.001256 0.118128 1.031399 -0.014270 -0.521068 1
1.635495 13562.858353 -0.001461 0.125439 1.027563 -0.013786 -0.564071 1
1.216684 12987.100385 -0.001461 0.125439 1.027563 -0.013785 -0.562882 1
1.224447 13167.835615 -0.001461 0.125439 1.027563 -0.013785 -0.562882 1
1.220795 13256.741365 -0.001461 0.125439 1.027563 -0.013785 -0.562882 1
1.203953 13273.647217 -0.001567 0.133421 1.023828 -0.007897 -0.612376 1
0.920053 15003.770874 -0.001567 0.133421 1.023828 -0.007894 -0.611280 1
0.882596 14999.295571 -0.001567 0.133421 1.023828 -0.007894 -0.611280 1
0.824017 14736.484478 -0.001515 0.142212 1.020521 0.001613 -0.669622 1
0.632541 15970.867816 -0.001515 0.142212 1.020521 0.001614 -0.668758 1
0.570815 15847.145482 -0.001515 0.142212 1.020521 0.001614 -0.668758 1
0.501889 15707.200309 -0.001252 0.151737 1.018429 0.014486 -0.723281 1
0.471556 17383.493324 -0.001252 0.151737 1.018429 0.014486 -0.722091 1
0.495982 17918.858198 -0.001252 0.151737 1.018429 0.014486 -0.722091 1
0.667208 19915.497791 -0.001252 0.151737 1.018429 0.014486 -0.722091 1
1.416258 26825.596436 -0.000743 0.162006 1.018244 0.029838 -0.778102 1
1.424118 24252.324539 -0.000743 0.162006 1.018244 0.029837 -0.776780 1
1.416719 23985.587625 -0.000743 0.162006 1.018244 0.029837 -0.776780 1
1.421950 24186.802895 -0.000050 0.173258 1.019094 0.041533 -0.848421 1
1.313360 20688.489761 -0.000050 0.173258 1.019094 0.041532 -0.847623 1
1.310423 20594.570300 -0.000050 0.173258 1.019094 0.041532 -0.847623 1
1.317272 20837.668063 0.000698 0.185331 1.018915 0.045556 -0.909675 1
1.056707 16289.185162 0.000698 0.185331 1.018915 0.045701 -0.908293 1
1.057007 16349.558647 0.000698 0.185331 1.018915 0.045701 -0.908293 1
1.063388 16533.788062 0.000698 0.185331 1.018915 0.045701 -0.908293 1
1.069414 16710.119948 0.001645 0.198186 1.020774 0.058470 -0.969512 1
0.894733 15170.178025 0.001645 0.198186 1.020774 0.058472 -0.967893 1
0.895290 15187.787317 0.001645 0.198186 1.020774 0.058472 -0.967893 1
0.899935 15288.511554 0.002613 0.211833 1.021569 0.060672 -1.030621 1
0.705184 13426.378765 0.002613 0.211833 1.021569 0.060672 -1.028909 1
0.705767 13427.624170 0.002613 0.211833 1.021569 0.060672 -1.028909 1
0.708854 13484.512054 0.003581 0.226328 1.021247 0.061696 -1.096032 1
0.598644 12394.219318 0.003581 0.226328 1.021247 0.061696 -1.094478 1
0.598485 12388.866984 0.003581 0.226328 1.021247 0.061696 -1.094478 1
0.600413 12424.310000 0.003581 0.226328 1.021247 0.061696 -1.094478 1
0.602115 12455.947841 0.004543 0.241392 1.020045 0.062250 -1.145246 1
0.542940 11819.344096 0.004543 0.241392 1.020045 0.062250 -1.143108 1
0.541242 11799.665127 0.004543 0.241392 1.020045 0.062250 -1.143108 1
0.541607 11803.430804 0.005282 0.256706 1.021943 0.049590 -1.175547 1
0.588441 13313.357017 0.005282 0.256706 1.021943 0.049591 -1.173504 1
0.587353 13270.970883 0.005282 0.256706 1.021943 0.049591 -1.173504 1
0.587610 13281.340611 0.005793 0.272625 1.023370 0.036484 -1.227794 1
0.597458 12498.363095 0.005793 0.272625 1.023370 0.036484 -1.225363 1
0.615843 21627.200683 0.005793 0.272625 1.023370 0.032876 -1.221377 1
0.569405 12683.719786 0.005793 0.272625 1.023370 0.032876 -1.221377 1
0.693532 13766.444277 0.006088 0.288845 1.024937 0.023805 -1.262002 1
0.877719 14156.485365 0.006088 0.288845 1.024937 0.023804 -1.259778 1
1.087041 15980.539922 0.006088 0.288845 1.024937 0.023804 -1.259778 1
1.329901 18198.140671 0.006323 0.305609 1.025218 0.020373 -1.311454 1
1.457287 16840.548895 0.006323 0.305609 1.025218 0.020372 -1.309586 1
1.697650 18633.672390 0.006323 0.305609 1.025218 0.020372 -1.309586 1
1.948535 20705.657018 0.006469 0.322646 1.024443 0.015265 -1.344897 1
1.923419 19550.269512 0.006469 0.322646 1.024443 0.015265 -1.342645 1
2.124012 21158.403248 0.006469 0.322646 1.024443 0.015265 -1.342645 1
2.307942 22831.570643 0.006469 0.322646 1.024443 0.015265 -1.342645 1
2.462744 24385.119911 0.006519 0.339899 1.022853 0.009515 -1.375042 1
2.142152 21964.249632 0.006519 0.339899 1.022853 0.009515 -1.372821 1
2.202377 22746.378350 0.006519 0.339899 1.022853 0.009515 -1.372821 1
2.222092 23236.681312 0.006423 0.357134 1.021577 0.000639 -1.391279 1
1.961301 24330.889877 0.006423 0.357134 1.021577 0.000636 -1.388566 1
1.995916 25278.886995 0.006423 0.357134 1.021577 0.000636 -1.388566 1
2.013592 25758.589207 0.006160 0.374424 1.020747 -0.009635 -1.411808 1
1.801193 24526.645351 0.006160 0.374424 1.020747 -0.009636 -1.409428 1
1.832601 25423.274457 0.006160 0.374424 1.020747 -0.009636 -1.409428 1
1.844665 25753.366632 0.006160 0.374424 1.020747 -0.009636 -1.409428 1
1.855262 26076.126680 0.005675 0.391618 1.021469 -0.023388 -1.423253 1
1.698310 23585.942405 0.005675 0.391618 1.021469 -0.023391 -1.420626 1
1.719090 24310.518264 0.005675 0.391618 1.021469 -0.023391 -1.420626 1
1.722483 24470.592833 0.004991 0.408708 1.023123 -0.036075 -1.434129 1
1.606664 22875.529508 0.004991 0.408708 1.023123 -0.036075 -1.431616 1
