q torque X Z vX vZ pasEffectue 
0.075486 3229.702997 0.000985 -0.016373 0.002845 -0.035088 0
0.078166 3094.468961 0.000985 -0.016373 0.002845 -0.035071 0
0.075573 3219.024784 0.001045 -0.017016 0.002788 -0.035558 0
0.078166 3094.468961 0.000985 -0.016373 0.002845 -0.035071 0
0.078611 3105.739177 0.001045 -0.017016 0.002788 -0.035543 0
0.078611 3105.739177 0.001045 -0.017016 0.002788 -0.035543 0
0.078166 3094.468961 0.001016 -0.016707 0.002864 -0.036780 0
0.078611 3105.739177 0.001045 -0.017016 0.002788 -0.035543 0
0.075573 3219.024784 0.001016 -0.016707 0.002864 -0.036794 0
0.075573 3219.024784 0.001016 -0.016707 0.002864 -0.036794 0
0.078611 3105.739177 0.001074 -0.017349 0.002810 -0.037307 0
0.075901 3209.472239 0.001074 -0.017349 0.002810 -0.037322 0
0.075573 3219.024784 0.001045 -0.017016 0.002788 -0.035558 0
0.075901 3209.472239 0.001074 -0.017349 0.002810 -0.037322 0
0.078611 3105.739177 0.001045 -0.017016 0.002788 -0.035543 0
0.078611 3105.739177 0.001045 -0.017016 0.002788 -0.035543 0
0.075901 3209.472239 0.001102 -0.017657 0.002756 -0.036113 0
0.078611 3105.739177 0.001045 -0.017016 0.002788 -0.035543 0
0.079134 3109.125768 0.001102 -0.017657 0.002756 -0.036098 0
0.079134 3109.125768 0.001102 -0.017657 0.002756 -0.036098 0
0.078611 3105.739177 0.001074 -0.017349 0.002810 -0.037307 0
0.075901 3209.472239 0.001074 -0.017349 0.002810 -0.037322 0
0.079134 3109.125768 0.001130 -0.017988 0.002795 -0.037886 0
0.075901 3209.472239 0.001074 -0.017349 0.002810 -0.037322 0
0.076233 3203.088720 0.001130 -0.017988 0.002795 -0.037901 0
0.075901 3209.472239 0.001102 -0.017657 0.002756 -0.036113 0
0.076233 3203.088720 0.001130 -0.017988 0.002795 -0.037901 0
0.079134 3109.125768 0.001102 -0.017657 0.002756 -0.036098 0
0.079134 3109.125768 0.001102 -0.017657 0.002756 -0.036098 0
0.076233 3203.088720 0.001156 -0.018295 0.002771 -0.036680 0
0.079568 3102.983543 0.001156 -0.018295 0.002771 -0.036664 0
0.079134 3109.125768 0.001130 -0.017988 0.002795 -0.037886 0
0.079568 3102.983543 0.001156 -0.018295 0.002771 -0.036664 0
0.076233 3203.088720 0.001130 -0.017988 0.002795 -0.037901 0
0.076233 3203.088720 0.001130 -0.017988 0.002795 -0.037901 0
0.079568 3102.983543 0.001184 -0.018625 0.002838 -0.038445 0
0.076233 3203.088720 0.001130 -0.017988 0.002795 -0.037901 0
0.076465 3196.645207 0.001184 -0.018625 0.002838 -0.038460 0
0.076465 3196.645207 0.001184 -0.018625 0.002838 -0.038460 0
0.079568 3102.983543 0.001156 -0.018295 0.002771 -0.036664 0
0.076465 3196.645207 0.001211 -0.018929 0.002847 -0.037196 0
0.079568 3102.983543 0.001156 -0.018295 0.002771 -0.036664 0
0.079841 3089.655415 0.001211 -0.018929 0.002847 -0.037180 0
0.079841 3089.655415 0.001211 -0.018929 0.002847 -0.037180 0
0.076465 3196.645207 0.001184 -0.018625 0.002838 -0.038460 0
0.079841 3089.655415 0.001211 -0.018929 0.002847 -0.037180 0
0.076465 3196.645207 0.001184 -0.018625 0.002838 -0.038460 0
0.079841 3089.655415 0.001240 -0.019257 0.002941 -0.038930 0
0.076611 3187.726784 0.001240 -0.019257 0.002941 -0.038945 0
0.076465 3196.645207 0.001211 -0.018929 0.002847 -0.037196 0
0.076611 3187.726784 0.001240 -0.019257 0.002941 -0.038945 0
0.079841 3089.655415 0.001211 -0.018929 0.002847 -0.037180 0
0.076611 3187.726784 0.001268 -0.019558 0.002977 -0.037620 0
0.079841 3089.655415 0.001211 -0.018929 0.002847 -0.037180 0
0.079986 3071.247919 0.001268 -0.019558 0.002977 -0.037604 0
0.079841 3089.655415 0.001240 -0.019257 0.002941 -0.038930 0
0.079986 3071.247919 0.001268 -0.019558 0.002977 -0.037604 0
0.076611 3187.726784 0.001240 -0.019257 0.002941 -0.038945 0
0.079986 3071.247919 0.001298 -0.019882 0.003093 -0.039312 0
0.076611 3187.726784 0.001240 -0.019257 0.002941 -0.038945 0
0.076725 3176.454509 0.001298 -0.019882 0.003093 -0.039326 0
0.076611 3187.726784 0.001268 -0.019558 0.002977 -0.037620 0
0.076725 3176.454509 0.001298 -0.019882 0.003093 -0.039326 0
0.076725 3176.454509 0.001298 -0.019882 0.003093 -0.039326 0
0.079986 3071.247919 0.001268 -0.019558 0.002977 -0.037604 0
