q torque X Z vX vZ pasEffectue 
0.094928 17003.096847 -0.000005 -0.006023 -0.000947 -0.006215 0
0.094928 17003.096847 -0.000005 -0.006023 -0.000947 -0.006215 0
0.094928 17003.096847 -0.000005 -0.006023 -0.000947 -0.006215 0
0.094928 17003.096847 -0.000021 -0.006025 -0.001000 -0.006144 0
0.091280 16999.513931 -0.000021 -0.006025 -0.001000 -0.006144 0
0.091280 16999.513931 -0.000021 -0.006025 -0.001000 -0.006144 0
0.091280 16999.513931 -0.000038 -0.006028 -0.001030 -0.006226 0
0.087595 16909.657894 -0.000038 -0.006028 -0.001030 -0.006226 0
0.087595 16909.657894 -0.000038 -0.006028 -0.001030 -0.006226 0
0.087595 16909.657894 -0.000054 -0.006030 -0.001066 -0.006151 0
0.083861 16906.701210 -0.000054 -0.006030 -0.001066 -0.006151 0
0.083861 16906.701210 -0.000054 -0.006030 -0.001066 -0.006151 0
0.083861 16906.701210 -0.000054 -0.006030 -0.001066 -0.006151 0
0.083861 16906.701210 -0.000071 -0.006034 -0.001081 -0.006228 0
0.080151 16816.907107 -0.000071 -0.006034 -0.001081 -0.006228 0
0.080151 16816.907107 -0.000071 -0.006034 -0.001081 -0.006228 0
0.080151 16816.907107 -0.000088 -0.006036 -0.001104 -0.006148 0
0.076445 16814.509924 -0.000088 -0.006036 -0.001104 -0.006148 0
0.076445 16814.509924 -0.000088 -0.006036 -0.001104 -0.006148 0
0.076445 16814.509924 -0.000105 -0.006039 -0.001106 -0.006221 0
0.072818 16724.905687 -0.000105 -0.006039 -0.001106 -0.006221 0
0.072818 16724.905687 -0.000105 -0.006039 -0.001106 -0.006221 0
0.072818 16724.905687 -0.000105 -0.006039 -0.001106 -0.006221 0
0.072818 16724.905687 -0.000121 -0.006040 -0.001116 -0.006139 0
0.069242 16723.001624 -0.000121 -0.006040 -0.001116 -0.006139 0
0.069242 16723.001624 -0.000121 -0.006040 -0.001116 -0.006139 0
0.069242 16723.001624 -0.000138 -0.006043 -0.001107 -0.006209 0
0.065791 16633.685297 -0.000138 -0.006043 -0.001107 -0.006209 0
0.065791 16633.685297 -0.000138 -0.006043 -0.001107 -0.006209 0
0.065791 16633.685297 -0.000153 -0.006044 -0.001108 -0.006124 0
0.062428 16632.203311 -0.000153 -0.006044 -0.001108 -0.006124 0
0.062428 16632.203311 -0.000153 -0.006044 -0.001108 -0.006124 0
0.062428 16632.203311 -0.000153 -0.006044 -0.001108 -0.006124 0
0.062428 16632.203311 -0.000169 -0.006047 -0.001091 -0.006193 0
0.059228 16543.252098 -0.000169 -0.006047 -0.001091 -0.006193 0
0.059228 16543.252098 -0.000169 -0.006047 -0.001091 -0.006193 0
0.059228 16543.252098 -0.000184 -0.006048 -0.001084 -0.006108 0
0.056145 16542.113861 -0.000184 -0.006048 -0.001084 -0.006108 0
0.056145 16542.113861 -0.000184 -0.006048 -0.001084 -0.006108 0
0.056145 16542.113861 -0.000198 -0.006050 -0.001061 -0.006176 0
0.053251 16453.591969 -0.000198 -0.006050 -0.001061 -0.006176 0
0.053251 16453.591969 -0.000198 -0.006050 -0.001061 -0.006176 0
0.053251 16453.591969 -0.000198 -0.006050 -0.001061 -0.006176 0
0.053251 16453.591969 -0.000212 -0.006051 -0.001049 -0.006091 0
0.050495 16452.711341 -0.000212 -0.006051 -0.001049 -0.006091 0
0.050495 16452.711341 -0.000212 -0.006051 -0.001049 -0.006091 0
0.050495 16452.711341 -0.000225 -0.006052 -0.001023 -0.006160 0
0.047947 16364.676080 -0.000225 -0.006052 -0.001023 -0.006160 0
0.047947 16364.676080 -0.000225 -0.006052 -0.001023 -0.006160 0
0.047947 16364.676080 -0.000238 -0.006053 -0.001008 -0.006076 0
0.045546 16363.960327 -0.000238 -0.006053 -0.001008 -0.006076 0
0.045546 16363.960327 -0.000238 -0.006053 -0.001008 -0.006076 0
0.045546 16363.960327 -0.000238 -0.006053 -0.001008 -0.006076 0
0.045546 16363.960327 -0.000250 -0.006087 -0.000980 -0.008171 0
0.043376 16277.705260 -0.000250 -0.006087 -0.000980 -0.008171 0
0.043376 16277.705260 -0.000250 -0.006087 -0.000980 -0.008171 0
0.043376 16277.705260 -0.000262 -0.006250 -0.000964 -0.016028 0
0.041380 16165.700019 -0.000262 -0.006250 -0.000964 -0.016028 0
0.041380 16165.700019 -0.000262 -0.006250 -0.000964 -0.016028 0
0.041380 16165.700019 -0.000273 -0.006631 -0.000925 -0.029488 0
0.039696 16086.038215 -0.000273 -0.006631 -0.000925 -0.029488 0
0.039696 16086.038215 -0.000273 -0.006631 -0.000925 -0.029488 0
0.039696 16086.038215 -0.000273 -0.006631 -0.000925 -0.029488 0
0.039696 16086.038215 -0.000284 -0.007339 -0.000931 -0.049782 0
0.038151 15850.418674 -0.000284 -0.007339 -0.000931 -0.049782 0
0.038151 15850.418674 -0.000284 -0.007339 -0.000931 -0.049782 0
0.038151 15850.418674 -0.000293 -0.008442 -0.000866 -0.074643 0
0.037053 15726.089213 -0.000293 -0.008442 -0.000866 -0.074643 0
0.037053 15726.089213 -0.000293 -0.008442 -0.000866 -0.074643 0
0.037053 15726.089213 -0.000303 -0.009996 -0.000879 -0.103259 0
0.036123 15607.362830 -0.000303 -0.009996 -0.000879 -0.103259 0
0.036123 15607.362830 -0.000303 -0.009996 -0.000879 -0.103259 0
0.036123 15607.362830 -0.000303 -0.009996 -0.000879 -0.103259 0
0.036123 15607.362830 -0.000312 -0.012090 -0.000841 -0.137716 0
0.035841 15433.870644 -0.000312 -0.012090 -0.000841 -0.137716 0
