qdot q torque X Z vX vZ pasEffectue 
-44.570271 -3.369648 10.375249 0.027661 -0.778783 0.336513 -1.241404 1
3.472546 -3.427665 -6.041291 0.033074 -0.786084 0.357871 -1.224148 1
-41.084351 -2.742165 11.982022 0.038259 -0.793079 0.349374 -1.212787 1
27.097852 -3.194331 -13.596613 0.043581 -0.799780 0.362891 -1.201836 1
-38.296374 -2.555495 10.921060 0.048662 -0.806227 0.353511 -1.193065 1
38.808720 -3.202855 -18.825329 0.053776 -0.812472 0.360638 -1.187150 1
-38.407978 -2.562307 9.675281 0.058638 -0.818517 0.350363 -1.181250 1
44.151441 -3.298576 -22.336973 0.063441 -0.824422 0.351616 -1.178738 1
-39.565215 -2.638877 8.535504 0.067973 -0.830170 0.339864 -1.175007 1
44.823860 -3.386188 -24.040018 0.072370 -0.835823 0.336223 -1.175015 1
-40.623874 -2.708960 7.649257 0.076468 -0.841320 0.322317 -1.171134 1
44.197268 -3.445707 -24.985235 0.080385 -0.846750 0.315456 -1.172557 1
-41.343403 -2.756570 6.907358 0.083980 -0.852006 0.299638 -1.167363 1
40.622208 -3.433655 -24.431048 0.087373 -0.857209 0.290953 -1.169404 1
-41.202032 -2.746926 6.318500 0.090424 -0.862206 0.273489 -1.162027 1
34.419496 -3.320596 -22.332615 0.093272 -0.867153 0.264170 -1.163977 1
-39.846823 -2.656477 5.879302 0.095765 -0.871854 0.245358 -1.153889 1
26.577098 -3.099430 -19.002296 0.098070 -0.876498 0.236342 -1.155175 1
-37.193154 -2.479544 5.559718 0.100014 -0.880859 0.216669 -1.142479 1
17.646576 -2.773654 -14.658304 0.101794 -0.885149 0.208610 -1.142565 1
-33.283594 -2.218923 5.337191 0.103217 -0.889125 0.188563 -1.127711 1
8.359010 -2.358241 -9.643846 0.104507 -0.893009 0.181930 -1.126023 1
-28.298275 -1.886593 5.177095 0.105444 -0.896552 0.161670 -1.109142 1
0.015518 -1.886850 -4.637872 0.106285 -0.899976 0.156739 -1.105433 1
-22.641368 -1.509480 5.002304 0.106782 -0.903041 0.136557 -1.086892 1
-6.875781 -1.394879 -0.056643 0.107217 -0.905963 0.133338 -1.081276 1
-16.737703 -1.115903 4.758161 0.107321 -0.908514 0.113577 -1.061599 1
-12.229028 -0.912075 3.880755 0.107396 -0.910905 0.111902 -1.054395 1
-10.944238 -0.729660 4.417635 0.107162 -0.912938 0.093118 -1.034908 1
-8.755425 -0.583727 3.863452 0.106928 -0.914794 0.092853 -1.026141 1
-7.004267 -0.466981 3.710325 0.106406 -0.916305 0.075121 -1.006971 1
-5.603460 -0.373584 3.044651 0.105905 -0.917631 0.075828 -0.997179 1
-4.482716 -0.298867 2.749309 0.105139 -0.918629 0.059174 -0.978535 1
-3.586216 -0.239092 2.035218 0.104408 -0.919442 0.060583 -0.968189 1
-2.868936 -0.191273 1.661508 0.103438 -0.919951 0.045234 -0.950482 1
-2.295184 -0.153017 0.950543 0.102516 -0.920278 0.047184 -0.939920 1
-1.836120 -0.122413 0.540277 0.101382 -0.920331 0.033311 -0.923520 1
-1.468922 -0.097930 -0.130622 0.100304 -0.920212 0.035643 -0.913033 1
-1.175116 -0.078343 -0.548121 0.099043 -0.919851 0.023389 -0.898228 1
-0.940111 -0.062674 -1.153940 0.097845 -0.919330 0.025982 -0.888040 1
-0.752073 -0.050139 -1.559083 0.096494 -0.918603 0.015391 -0.874991 1
-0.601669 -0.040110 -2.085633 0.095209 -0.917729 0.018138 -0.865280 1
-0.481324 -0.032088 -2.465307 0.093799 -0.916685 0.009201 -0.854056 1
-0.385064 -0.025670 -2.905902 0.092459 -0.915509 0.012025 -0.844941 1
-0.308043 -0.020536 -3.252404 0.091020 -0.914198 0.004696 -0.835542 1
-0.246436 -0.016428 -3.605522 0.089660 -0.912763 0.008043 -0.826696 1
-0.197135 -0.013142 -3.934364 0.088224 -0.911233 0.002101 -0.819392 1
-0.157715 -0.010514 -4.187344 0.086849 -0.909605 0.004344 -0.811966 1
-0.126173 -0.008411 -4.444403 0.085426 -0.907922 0.000020 -0.806932 1
-0.100935 -0.006729 -4.590619 0.084058 -0.906165 0.002013 -0.800748 1
-0.080749 -0.005383 -4.787246 0.082664 -0.904376 -0.000989 -0.797034 1
-0.064596 -0.004306 -4.870899 0.081325 -0.902528 0.000970 -0.791645 1
-0.051677 -0.003445 -5.028589 0.079978 -0.900670 -0.000855 -0.789187 1
-0.041339 -0.002756 -5.053647 0.078686 -0.898763 0.001170 -0.784360 1
-0.033071 -0.002205 -5.184146 0.077402 -0.896869 0.000412 -0.783177 1
-0.026456 -0.001764 -5.150704 0.076175 -0.894934 0.002510 -0.778847 1
-0.021165 -0.001411 -5.257974 0.074971 -0.893031 0.002729 -0.778865 1
-0.016932 -0.001129 -5.170345 0.073822 -0.891097 0.004877 -0.775045 1
-0.013545 -0.000903 -5.254924 0.072709 -0.889212 0.005979 -0.776132 1
-0.010836 -0.000722 -5.119991 0.071651 -0.887304 0.008137 -0.772848 1
-0.008669 -0.000578 -5.181805 0.070640 -0.885461 0.010017 -0.774880 1
-0.006936 -0.000462 -5.006205 0.069681 -0.883604 0.012139 -0.772148 1
-0.005548 -0.000370 -5.045473 0.068780 -0.881824 0.014690 -0.775021 1
-0.004439 -0.000296 -4.834745 0.067925 -0.880041 0.016600 -0.773080 1
4.208479 -0.070437 -6.695481 0.067134 -0.878344 0.019681 -0.776504 1
-0.845247 -0.056350 -4.769608 0.066385 -0.876653 0.021461 -0.775228 1
6.789483 -0.169508 -8.004548 0.065706 -0.875053 0.024946 -0.779055 1
-2.034093 -0.135606 -4.730705 0.065064 -0.873469 0.026554 -0.778402 1
8.101756 -0.270636 -8.893312 0.064495 -0.871979 0.030341 -0.782560 1
-3.247623 -0.216509 -4.663124 0.063957 -0.870512 0.031728 -0.782509 1
9.064294 -0.367581 -9.608641 0.063495 -0.869142 0.035735 -0.786942 1
-4.410953 -0.294065 -4.557056 0.063058 -0.867803 0.036876 -0.787464 1
9.860352 -0.458405 -10.198269 0.062697 -0.866562 0.041031 -0.792111 1
-5.500829 -0.366724 -4.413046 0.062357 -0.865359 0.041917 -0.793166 1
10.480135 -0.541394 -10.651482 0.062091 -0.864254 0.046153 -0.797959 1
-6.496686 -0.433115 -4.232823 0.061840 -0.863192 0.046786 -0.799495 1
10.910357 -0.614956 -10.958103 0.061663 -0.862228 0.051037 -0.804360 1
-7.379418 -0.491965 -4.018867 0.061494 -0.861313 0.051379 -0.806447 1
11.041619 -0.675993 -11.060991 0.061397 -0.860493 0.055582 -0.811252 1
-8.111857 -0.540794 -3.767376 0.061303 -0.859728 0.055648 -0.813854 1
10.907657 -0.722590 -10.964105 0.061277 -0.859051 0.059705 -0.818441 1
-8.671018 -0.578072 -3.482880 0.061249 -0.858433 0.059587 -0.821350 1
10.683750 -0.756136 -10.749486 0.061285 -0.857896 0.063419 -0.825662 1
-9.073567 -0.604908 -3.180215 0.061315 -0.857419 0.063151 -0.828772 1
10.417592 -0.778536 -10.453399 0.061404 -0.857015 0.066724 -0.832789 1
-9.342376 -0.622829 -2.868782 0.061485 -0.856671 0.066323 -0.836032 1
