qdot q torque X Z vX vZ pasEffectue 
36.501400 8.337950 0.000000 -0.032421 -0.697564 -0.085486 -1.233546 1
-4.894990 8.419487 0.000000 -0.032607 -0.706111 -0.043776 -1.218959 1
66.684523 7.308243 0.000000 -0.032201 -0.714389 -0.007807 -1.211042 1
-2.130046 7.344124 0.000000 -0.031148 -0.722175 0.032033 -1.189325 1
92.615680 5.800747 0.000000 -0.029524 -0.729496 0.067908 -1.168798 1
-39.965664 6.467253 0.000000 -0.027209 -0.736068 0.111652 -1.130358 1
170.826043 3.620026 0.000000 -0.024633 -0.741893 0.129980 -1.091437 1
-27.223098 4.074042 0.000000 -0.021368 -0.746900 0.174535 -1.047270 1
100.902341 2.392365 0.000000 -0.017790 -0.751325 0.196854 -1.016822 1
-19.235711 2.713115 0.000000 -0.013642 -0.755041 0.235270 -0.978041 1
75.510819 1.454651 0.000000 -0.009175 -0.758280 0.258798 -0.952588 1
-29.055350 1.938987 0.000000 -0.004267 -0.760891 0.290251 -0.917593 1
64.435134 0.865106 0.000000 0.000882 -0.763000 0.309799 -0.889537 1
-36.899558 1.480148 0.000000 0.006324 -0.764506 0.332837 -0.854813 1
50.464463 0.639113 0.000000 0.011916 -0.765454 0.347474 -0.822334 1
-36.126526 1.241266 0.000000 0.017617 -0.765770 0.359628 -0.784775 1
43.034574 0.524068 0.000000 0.023353 -0.765485 0.367541 -0.748391 1
-29.486401 1.015543 0.000000 0.029000 -0.764615 0.367822 -0.712384 1
38.158362 0.379606 0.000000 0.034736 -0.763808 0.378870 -0.715405 1
-22.154995 0.748875 0.000000 0.040325 -0.762454 0.375689 -0.681189 1
30.206439 0.245456 0.000000 0.045913 -0.761188 0.381206 -0.685237 1
-25.411235 0.668991 0.000000 0.051332 -0.759563 0.376472 -0.662093 1
27.184607 0.215935 0.000000 0.056696 -0.758058 0.378489 -0.667739 1
-31.507307 0.741072 0.000000 0.061848 -0.756324 0.370984 -0.652291 1
27.154594 0.288521 0.000000 0.066912 -0.754755 0.370775 -0.660582 1
-35.504877 0.880286 0.000000 0.071723 -0.753055 0.360347 -0.651065 1
28.619600 0.403324 0.000000 0.076421 -0.751558 0.358339 -0.661767 1
-36.395408 1.009930 0.000000 0.080833 -0.750010 0.345526 -0.657100 1
29.938714 0.510983 0.000000 0.085111 -0.748686 0.341783 -0.669264 1
-35.128483 1.096470 0.000000 0.089080 -0.747369 0.327240 -0.668358 1
30.190715 0.593319 0.000000 0.092898 -0.746281 0.321995 -0.680994 1
-32.812809 1.140208 0.000000 0.096395 -0.745237 0.306219 -0.682602 1
29.385816 0.650464 0.000000 0.099727 -0.744413 0.299624 -0.694955 1
-29.950455 1.149643 0.000000 0.102730 -0.743650 0.282907 -0.697854 1
27.727134 0.687536 0.000000 0.105555 -0.743088 0.275048 -0.709416 1
-26.746835 1.133319 0.000000 0.108048 -0.742589 0.257662 -0.712622 1
25.570476 0.707148 0.000000 0.110359 -0.742269 0.248986 -0.723095 1
-23.496957 1.098765 0.000000 0.112342 -0.742002 0.231315 -0.725947 1
23.381243 0.709076 0.000000 0.114144 -0.741890 0.222263 -0.735164 1
-20.407024 1.049193 0.000000 0.115628 -0.741814 0.204681 -0.737275 1
21.247411 0.695065 0.000000 0.116939 -0.741869 0.195627 -0.745184 1
-17.635035 0.988982 0.000000 0.117948 -0.741943 0.178450 -0.746387 1
19.228695 0.668498 0.000000 0.118796 -0.742125 0.169702 -0.753034 1
-15.272804 0.923044 0.000000 0.119360 -0.742309 0.153170 -0.753317 1
17.383614 0.633312 0.000000 0.119779 -0.742579 0.144943 -0.758814 1
-13.328827 0.855459 0.000000 0.119934 -0.742836 0.129215 -0.758261 1
15.738228 0.593150 0.000000 0.119962 -0.743163 0.121655 -0.762760 1
-11.763191 0.789204 0.000000 0.119747 -0.743464 0.106832 -0.761507 1
14.309905 0.550701 0.000000 0.119424 -0.743820 0.100038 -0.765172 1
-10.515911 0.725967 0.000000 0.118879 -0.744140 0.086189 -0.763370 1
13.098258 0.507659 0.000000 0.118245 -0.744504 0.080228 -0.766354 1
-9.522633 0.666371 0.000000 0.117412 -0.744826 0.067399 -0.764145 1
12.082792 0.464988 0.000000 0.116508 -0.745183 0.062314 -0.766581 1
-8.724692 0.610402 0.000000 0.115427 -0.745493 0.050537 -0.764083 1
11.233528 0.423174 0.000000 0.114295 -0.745830 0.046355 -0.766080 1
-8.073406 0.557733 0.000000 0.113005 -0.746118 0.035651 -0.763382 1
10.518556 0.382422 0.000000 0.111684 -0.746428 0.032389 -0.765025 1
-7.530006 0.507924 0.000000 0.110226 -0.746686 0.022770 -0.762189 1
9.907456 0.342799 0.000000 0.108754 -0.746963 0.020435 -0.763543 1
-7.065018 0.460551 0.000000 0.107166 -0.747186 0.011903 -0.760609 1
9.373222 0.304331 0.000000 0.105582 -0.747425 0.010490 -0.761721 1
-6.659612 0.415326 0.000000 0.103905 -0.747612 0.003326 -0.758848 1
9.599641 0.255331 0.000000 0.102249 -0.747808 0.002850 -0.759599 1
-7.588625 0.381810 0.000000 0.100506 -0.747951 -0.004030 -0.756505 1
8.112218 0.246606 0.000000 0.098794 -0.748111 -0.003973 -0.757691 1
-6.200864 0.349955 0.000000 0.097012 -0.748224 -0.009851 -0.755043 1
8.116561 0.214679 0.000000 0.095273 -0.748350 -0.009124 -0.755886 1
-5.745894 0.310445 0.000000 0.093482 -0.748431 -0.013925 -0.753313 1
7.833478 0.179887 0.000000 0.091747 -0.748521 -0.012408 -0.753922 1
-5.592196 0.273091 0.000000 0.089976 -0.748566 -0.016235 -0.751273 1
7.453250 0.148871 0.000000 0.088274 -0.748618 -0.013885 -0.751748 1
-5.442695 0.239583 0.000000 0.086551 -0.748625 -0.016810 -0.749007 1
7.133831 0.120686 0.000000 0.084908 -0.748637 -0.013676 -0.749383 1
-5.254932 0.208269 0.000000 0.083258 -0.748604 -0.015758 -0.746598 1
6.842133 0.094234 0.000000 0.081697 -0.748576 -0.011933 -0.746888 1
-5.082817 0.178948 0.000000 0.080141 -0.748503 -0.013246 -0.744121 1
6.546938 0.069832 0.000000 0.078682 -0.748434 -0.008838 -0.744342 1
-4.964554 0.152575 0.000000 0.077237 -0.748323 -0.009478 -0.741657 1
6.251847 0.048378 0.000000 0.075895 -0.748217 -0.004594 -0.741837 1
-4.899989 0.130044 0.000000 0.074575 -0.748071 -0.004667 -0.739288 1
5.972441 0.030504 0.000000 0.073362 -0.747929 0.000585 -0.739460 1
-4.870317 0.111676 0.000000 0.072175 -0.747752 0.000971 -0.737100 1
5.718052 0.016375 0.000000 0.071098 -0.747580 0.006487 -0.737291 1
-4.856834 0.097322 0.000000 0.070051 -0.747377 0.007230 -0.735165 1
5.488698 0.005844 0.000000 0.069114 -0.747181 0.012910 -0.735398 1
-4.847292 0.086632 0.000000 0.068209 -0.746957 0.013917 -0.733541 1
5.279986 -0.001368 0.000000 0.067414 -0.746742 0.019668 -0.733829 1
-4.834146 0.079201 0.000000 0.066651 -0.746504 0.020857 -0.732266 1
5.087104 -0.005584 0.000000 0.065994 -0.746277 0.026597 -0.732618 1
-4.811874 0.074614 0.000000 0.065369 -0.746032 0.027894 -0.731362 1
4.905985 -0.007152 0.000000 0.064848 -0.745799 0.033552 -0.731780 1
-4.775943 0.072447 0.000000 0.064357 -0.745553 0.034895 -0.730835 1
4.733111 -0.006438 0.000000 0.063964 -0.745320 0.040409 -0.731318 1
-4.722901 0.072277 0.000000 0.063600 -0.745080 0.041745 -0.730677 1
4.565258 -0.003811 0.000000 0.063329 -0.744853 0.047063 -0.731221 1
-4.650575 0.073698 0.000000 0.063083 -0.744624 0.048348 -0.730870 1
4.399543 0.000373 0.000000 0.062925 -0.744408 0.053427 -0.731467 1
