Time X Y Z
0.015725 -0.193505 0.399242 0.479534
0.017234 -0.190356 0.393929 0.483054
0.016436 -0.187433 0.388161 0.485050
0.016773 -0.184268 0.382841 0.488060
0.016923 -0.182666 0.378699 0.488369
0.016027 -0.179697 0.374029 0.493795
0.015586 -0.175497 0.368910 0.497048
0.015034 -0.170613 0.363345 0.501833
0.015645 -0.165757 0.357850 0.504671
0.016726 -0.161038 0.352474 0.508043
0.018106 -0.156261 0.347468 0.509003
0.016145 -0.151498 0.343358 0.510540
0.015326 -0.147642 0.339946 0.511475
0.016096 -0.143875 0.337660 0.513586
0.015773 -0.139587 0.335124 0.513804
0.017926 -0.136642 0.332666 0.514117
0.016205 -0.133684 0.329942 0.513932
0.016916 -0.131946 0.327528 0.514206
0.018180 -0.130211 0.324990 0.514003
0.020439 -0.129601 0.322500 0.514420
0.018564 -0.128624 0.319766 0.514341
0.016338 -0.128680 0.316833 0.514897
0.015964 -0.128404 0.313671 0.515044
0.016371 -0.128905 0.310639 0.515695
0.016375 -0.128950 0.307553 0.516004
0.015661 -0.129595 0.304548 0.516733
0.016687 -0.129675 0.301341 0.517313
0.014800 -0.130180 0.297298 0.518237
0.019049 -0.130209 0.292800 0.519032
0.016104 -0.130709 0.288321 0.520055
0.015127 -0.130809 0.283732 0.520910
0.016021 -0.131390 0.279443 0.521828
0.015686 -0.131532 0.275503 0.522613
0.017922 -0.131935 0.272002 0.523078
0.015826 -0.132087 0.268765 0.523471
0.016653 -0.132396 0.264202 0.523382
0.016935 -0.132395 0.258931 0.523148
0.013092 -0.132750 0.253808 0.522373
0.014880 -0.132827 0.248863 0.521388
0.015490 -0.133415 0.245008 0.520124
0.015950 -0.133830 0.242197 0.518820
0.015840 -0.134404 0.240308 0.517330
0.015916 -0.134819 0.237069 0.515896
0.015811 -0.135516 0.232922 0.514352
0.015252 -0.135516 0.232922 0.514352
0.016085 -0.136141 0.228581 0.512580
0.016115 -0.136848 0.224386 0.510858
0.018201 -0.137437 0.220405 0.509112
0.016252 -0.138040 0.216474 0.507485
0.015915 -0.139056 0.212458 0.505851
0.016494 -0.140086 0.209438 0.503754
0.018307 -0.141385 0.207349 0.501415
0.017426 -0.142637 0.205897 0.498863
0.016320 -0.143833 0.203672 0.496085
0.016321 -0.145091 0.201225 0.493085
0.015486 -0.146717 0.198594 0.489976
0.016362 -0.148443 0.196042 0.486835
0.020688 -0.150096 0.192599 0.483868
0.016695 -0.151024 0.189559 0.480951
0.016633 -0.152259 0.187053 0.477968
0.015617 -0.152664 0.186528 0.475155
0.015647 -0.153493 0.186801 0.472736
0.015512 -0.153493 0.186801 0.472736
0.015949 -0.154213 0.187594 0.471133
0.015722 -0.154872 0.188709 0.469573
0.016065 -0.155475 0.189925 0.468348
0.016392 -0.155748 0.190916 0.467177
0.016818 -0.155743 0.191553 0.466379
0.015598 -0.155497 0.191603 0.465636
0.015021 -0.154941 0.191847 0.465210
0.015209 -0.154308 0.192281 0.464962
0.017712 -0.153613 0.192772 0.464878
0.016140 -0.152843 0.193180 0.464940
0.015588 -0.151890 0.193409 0.465006
0.015313 -0.151141 0.193633 0.465231
0.015056 -0.150337 0.193836 0.465293
0.016177 -0.149702 0.194105 0.465488
0.015576 -0.149071 0.194376 0.465529
0.016824 -0.148577 0.194718 0.465714
0.015950 -0.148094 0.195039 0.465776
0.015998 -0.147696 0.195160 0.465923
0.016519 -0.147252 0.195210 0.465999
0.015742 -0.146819 0.195298 0.466228
0.016720 -0.146449 0.195380 0.466306
0.016923 -0.146102 0.195499 0.466508
0.016319 -0.145810 0.195603 0.466583
0.018125 -0.145570 0.195732 0.466717
0.016783 -0.145367 0.195834 0.466748
0.018566 -0.145178 0.195931 0.466846
0.016752 -0.145012 0.195988 0.466857
0.016162 -0.144866 0.196035 0.466941
0.016537 -0.144740 0.196045 0.466943
0.016190 -0.144629 0.196040 0.467022
