Pseudo;SCIndex;PushName;angle;mass;height;StepIndex;Impulse;MaxForce;PerturbationDuration;StepFrame;EscapeTtb;EscapeDtb;EscapeMoS;MinTtb;MinMoS;MinDtb;MaxSpeed;MinCpred;CrossoverIndex;MinTtr;MaxTheta_trunk;MaxOmega_trunk;MaxLinMom_xf;MaxAngMom_yf;MaxAngMom_z;Max_KE;Max_lin_KE;Max_angle_KE;Final_CoM_x;Final_CoM_y
SOH0496A;0;PL180_1;180;64.2;1.725;0;14.576025268544159;50.15535067061523;0.555;982;0;0;1000.0;0.9145189976405642;0.08363675564771199;0.08878063505016479;0.14440378816339647;-283.54447655690973;0;6.680530451646153;0.07233404915691526;0.22692490721472267;9.28852044550783;1.57572609193599;0.115686338877906;0.885530273458762;1.340731346582762;0.007680645464928089;-0.00350937635583626;0.00728272401207564
SOH0496A;0;PL180_2;180;64.2;1.725;0;11.947381879706132;45.02216525859882;0.6;842;0;0;1000.0;1.039360963163277;0.09426237966354528;0.09633398461087633;0.14242501768843283;-5083.606916551439;0;3.2297458218462562;0.1236959659739488;0.45878154670435656;9.12114069083091;1.59490787062399;-0.0441469264306078;0.801983386527196;1.3013515567192269;0.005591880036089852;-0.00593683387878774;0.00967998375548318
MAA0996A;0;PH180_1;180;56.7;1.75;2;20.300158504988143;66.78568357096947;0.745;674;0.4414127475150279;0.15757977353175462;0.044821736775035044;0.47156939387939595;0.05249938204526781;0.1580172342645272;0.3371582934064646;-1836.45760587498;-1.0;1.4765487984049692;0.07086779765891661;1.0158340386421814;48.0819284534162;2.36916799925357;1.32218003899514;4.52397419110459;6.514534679613382;0.40410047431008883;0.380976018152346;0.0512952043930806
MAA0996A;0;PH180_2;180;56.7;1.75;2;14.747399900224805;46.51671885376445;0.75;738;0.45279151577705123;0.16216492495711043;0.04909591203985465;0.48312459407847513;0.056651675917701316;0.15350462056315092;0.3383865322174584;-275.376670274871;-1.0;0.9751831351969743;0.143995516014214;1.4631106294639595;41.9171221408849;1.72476464370045;1.240238810297;4.31646345946512;6.526013943361612;0.3895546431851006;0.21042989241694;0.0687378800866147
MAA0996A;0;PM180_1;180;56.7;1.75;2;16.585362876604762;51.11184146635133;0.76;725;0.7688383699809299;0.17116311895797523;0.10087990364680625;0.8010590631450177;0.1043625630123065;0.15129245782404246;0.21502196510198615;-116.04283765007348;-1.0;6.014168151395989;0.055115322893378435;0.2538591833482512;50.0645868015663;2.44819884500048;0.280299274077042;1.77893452986087;2.6472866700515474;0.05247657120069675;0.3522844119201;0.0601199469929556
MAA0996A;0;PM180_2;180;56.7;1.75;2;10.68466416429524;34.73011795702505;0.7000000000000001;993;0.7217182871192507;0.16363055562431794;0.09206220093880232;0.7551121182606344;0.09585859607978428;0.11732336754738472;0.218133787154485;-135.54966278633285;-1.0;4.2536389050771675;0.028016713457352998;-0.3647094730075781;32.0668699979203;1.91456303738762;0.139539748909151;2.31895741732481;2.7083916661156864;0.011228643201029736;0.169401009242032;0.0623999299071586
MAA0996A;0;PL180_1;180;56.7;1.75;0;13.258322416017943;48.98585083661602;0.605;1192;0;0;1000.0;0.6113891335303815;0.06046728202034079;0.08610463041874278;0.21663509888018337;-273.60883663727856;0;1.6302814555544272;0.14466610293118623;0.9022346411368926;12.2927451446356;3.51542425464259;0.279024852027571;2.28942373945961;2.61314374347695;0.16726166252128663;0.00674472826583195;0.0359288072640055
MAA0996A;0;PL180_2;180;56.7;1.75;2;11.909333868139244;40.07689486734115;0.765;1341;0.6388399987144174;0.16495291260179853;0.08334313388328389;0.6731391164976998;0.08853184456296526;0.11053966081148069;0.24793582793023736;-207.89150472378572;-1.0;7.765904923066333;0.009076977233102966;0.2010994681280692;45.2085093431779;2.15314581657147;0.134900814053482;2.46139946976679;3.5072650049102174;0.0028092419353986336;0.320739484524254;0.0514237416190533
ROM0497A;0;PH180_1;180;63.4;1.76;2;29.649583059569682;84.24936224305141;0.72;811;0.3476341509743376;0.1180803072318436;0.011360475689393577;0.3586175265262232;0.014910363042341609;0.12035151419520276;0.3355985284963542;-345.3939436032459;1.0;3.389638845961685;0.05665412593003135;0.44669720571227506;46.7840782816499;3.90428638486025;1.95074262756429;4.5343328597026;7.205434488267052;0.23221544189132975;0.721661127107307;-0.132415827518476
ROM0497A;0;PH180_2;180;63.4;1.76;2;27.671131508837412;88.83281621026597;0.6950000000000001;976;0.27275391618346884;0.11404499960802883;-0.017351837566652983;0.2828137709530956;-0.012992210128512401;0.1168717216310329;0.41324621936608585;-30.545875509985986;1.0;5.157354293067813;0.07489327369267816;0.29383572712110284;44.7763394585417;4.02489340448414;1.80708588364129;6.74171646233586;10.874472553063232;0.08714796996774378;0.672744106998423;-0.103261059506956
ROM0497A;0;PM180_1;180;63.4;1.76;2;19.9654844687886;62.691271554473424;0.65;910;0.5518329908578308;0.1623949703121703;0.06998163564698529;0.5559587467623878;0.07130726220493533;0.15742903452826856;0.2949557644622475;-255915.41099162173;-1.0;10.94341961580054;0.0483817728352314;-0.13948110469731503;18.6327915284751;2.64646250800087;0.170100134322589;3.24143280901627;5.547041583981131;0.009552667212068558;0.122442847825518;-0.051560599193978
ROM0497A;0;PM180_2;180;63.4;1.76;2;23.25819285371208;77.14075572347568;0.685;660;0.532222853237853;0.14558151488051843;0.05962260965654617;0.5378770024939222;0.060831278567826344;0.14631529145981756;0.2720236983202695;-1800.5575126396814;-1.0;2.9914439219422344;0.05624387234705337;0.5062947840467957;17.3101933784666;3.75391784916994;1.12990485792616;3.27411095735518;4.75684929633877;0.27514160387294556;0.208130644690429;-0.0129446867966427
