q0 qdot0 tau0 q1 qdot1 tau1 q2 qdot2 tau2 q3 qdot3 tau3 q4 qdot4 tau4 q5 qdot5 tau5 q6 qdot6 tau6 q7 qdot7 tau7 q8 qdot8 tau8 q9 qdot9 tau9 q10 qdot10 tau10 q11 qdot11 tau11 
0 0 -0.367227 5.42149 7.30933 -32.8644 0 0 0 0 0 0 -3.17429 0 -16.4708 -2.72323 0 -6.40048 0 0 0 -0.418825 0 -0.10236 -4.58627 0 -22.4334 0.327555 0 15.2696 0 0 0 4.68164 0 1.44065 
0 0 -0.367893 5.42149 7.30933 -32.8621 0 0 0 0 0 0 -3.17429 0 -16.4648 -2.72323 0 -6.38931 0 0 0 -0.418825 0 -0.10236 -4.58627 0 -22.4131 0.327555 0 15.284 0 0 0 4.68164 0 1.44065 
0 0 -0.367893 5.42149 7.30933 -32.8621 0 0 0 0 0 0 -3.17429 0 -16.4648 -2.72323 0 -6.38931 0 0 0 -0.418825 0 -0.10236 -4.58627 0 -22.4131 0.327555 0 15.284 0 0 0 4.68164 0 1.44065 
0 0 -0.539919 9.577 7.37099 37.8797 0 0 0 0 0 0 -2.37497 0 -3.38426 -2.83985 0 -9.82475 0 0 0 -0.21118 0 -0.0345954 -4.53131 0 -20.9916 0.112101 0 6.28978 0 0 0 4.62412 0 1.4234 
0 0 -0.539309 9.577 7.37099 37.8776 0 0 0 0 0 0 -2.37497 0 -3.38979 -2.83985 0 -9.83502 0 0 0 -0.21118 0 -0.0345954 -4.53131 0 -21.0103 0.112101 0 6.27651 0 0 0 4.62412 0 1.4234 
0 0 -0.539309 9.577 7.37099 37.8776 0 0 0 0 0 0 -2.37497 0 -3.38979 -2.83985 0 -9.83502 0 0 0 -0.21118 0 -0.0345954 -4.53131 0 -21.0103 0.112101 0 6.27651 0 0 0 4.62412 0 1.4234 
0 0 -0.539309 9.577 7.37099 37.8776 0 0 0 0 0 0 -2.37497 0 -3.38979 -2.83985 0 -9.83502 0 0 0 -0.21118 0 -0.0345954 -4.53131 0 -21.0103 0.112101 0 6.27651 0 0 0 4.62412 0 1.4234 
0 0 -0.437617 5.51239 7.18036 -31.0603 0 0 0 0 0 0 -3.01122 0 -15.8115 -2.59956 0 -5.65708 0 0 0 -0.429005 0 -0.106557 -4.58096 0 -22.9761 0.340828 0 14.7314 0 0 0 4.6759 0 1.439 
0 0 -0.43819 5.51239 7.18036 -31.0584 0 0 0 0 0 0 -3.01122 0 -15.8063 -2.59956 0 -5.64739 0 0 0 -0.429005 0 -0.106557 -4.58096 0 -22.9585 0.340828 0 14.744 0 0 0 4.6759 0 1.439 
0 0 -0.43819 5.51239 7.18036 -31.0584 0 0 0 0 0 0 -3.01122 0 -15.8063 -2.59956 0 -5.64739 0 0 0 -0.429005 0 -0.106557 -4.58096 0 -22.9585 0.340828 0 14.744 0 0 0 4.6759 0 1.439 
0 0 -0.537495 9.45311 7.17731 37.0381 0 0 0 0 0 0 -2.24223 0 -2.89195 -2.65072 0 -8.26643 0 0 0 -0.245554 0 -0.0466253 -4.52674 0 -20.9273 0.150277 0 6.96588 0 0 0 4.61913 0 1.42198 
0 0 -0.536826 9.45311 7.17731 37.0358 0 0 0 0 0 0 -2.24223 0 -2.89786 -2.65072 0 -8.27744 0 0 0 -0.245554 0 -0.0466253 -4.52674 0 -20.9474 0.150277 0 6.95167 0 0 0 4.61913 0 1.42198 
0 0 -0.536826 9.45311 7.17731 37.0358 0 0 0 0 0 0 -2.24223 0 -2.89786 -2.65072 0 -8.27744 0 0 0 -0.245554 0 -0.0466253 -4.52674 0 -20.9474 0.150277 0 6.95167 0 0 0 4.61913 0 1.42198 
0 0 -0.433422 5.33757 6.97545 -31.136 0 0 0 0 0 0 -2.87443 0 -15.0947 -2.42695 0 -4.85414 0 0 0 -0.475257 0 -0.122299 -4.54865 0 -22.2535 0.39083 0 15.2821 0 0 0 4.64195 0 1.42886 
0 0 -0.433961 5.33757 6.97545 -31.1342 0 0 0 0 0 0 -2.87443 0 -15.0899 -2.42695 0 -4.84522 0 0 0 -0.475257 0 -0.122299 -4.54865 0 -22.2373 0.39083 0 15.2936 0 0 0 4.64195 0 1.42886 
0 0 -0.433961 5.33757 6.97545 -31.1342 0 0 0 0 0 0 -2.87443 0 -15.0899 -2.42695 0 -4.84522 0 0 0 -0.475257 0 -0.122299 -4.54865 0 -22.2373 0.39083 0 15.2936 0 0 0 4.64195 0 1.42886 
