c1x c1z c2x c2z c3x c3z c4x c4z c5x c5z c6x c6z c7x c7z c8x c8z X Z vX vZ
0.154958 -0.058021 0.347450 -0.056233 0.157782 -0.362008 0.350273 -0.360220 -0.347409 -0.056275 -0.154918 -0.058117 -0.350318 -0.360261 -0.157827 -0.362103 -0.000008 -0.259517 0.000061 -0.038954
0.154965 -0.058017 0.347457 -0.056238 0.157775 -0.362004 0.350267 -0.360225 -0.347416 -0.056280 -0.154924 -0.058114 -0.350312 -0.360266 -0.157820 -0.362100 -0.000008 -0.259519 0.000030 -0.033563
0.154972 -0.058014 0.347464 -0.056243 0.157768 -0.362001 0.350260 -0.360230 -0.347422 -0.056285 -0.154931 -0.058110 -0.350305 -0.360271 -0.157813 -0.362096 -0.000008 -0.259521 0.000033 -0.028336
0.154979 -0.058010 0.347471 -0.056248 0.157761 -0.361997 0.350253 -0.360236 -0.347429 -0.056290 -0.154938 -0.058106 -0.350298 -0.360276 -0.157807 -0.362093 -0.000008 -0.259523 0.000003 -0.023320
0.154985 -0.058007 0.347477 -0.056254 0.157754 -0.361994 0.350246 -0.360241 -0.347436 -0.056295 -0.154945 -0.058103 -0.350291 -0.360282 -0.157800 -0.362089 -0.000008 -0.259526 0.000010 -0.018556
0.154992 -0.058003 0.347484 -0.056259 0.157747 -0.361991 0.350239 -0.360246 -0.347443 -0.056300 -0.154952 -0.058099 -0.350285 -0.360287 -0.157793 -0.362086 -0.000008 -0.259528 -0.000014 -0.014080
0.154999 -0.058000 0.347491 -0.056263 0.157741 -0.361987 0.350233 -0.360251 -0.347450 -0.056305 -0.154958 -0.058095 -0.350278 -0.360291 -0.157786 -0.362082 -0.000008 -0.259530 -0.000004 -0.009926
0.155005 -0.057996 0.347498 -0.056268 0.157734 -0.361984 0.350226 -0.360256 -0.347457 -0.056309 -0.154965 -0.058092 -0.350272 -0.360296 -0.157780 -0.362079 -0.000008 -0.259532 -0.000025 -0.006123
0.155012 -0.057993 0.347504 -0.056273 0.157728 -0.361981 0.350220 -0.360261 -0.347463 -0.056314 -0.154971 -0.058088 -0.350266 -0.360301 -0.157774 -0.362076 -0.000008 -0.259534 -0.000015 -0.002689
0.155017 -0.057989 0.347510 -0.056277 0.157722 -0.361977 0.350214 -0.360265 -0.347469 -0.056318 -0.154977 -0.058085 -0.350260 -0.360305 -0.157768 -0.362072 -0.000008 -0.259536 -0.000031 0.000360
0.155023 -0.057986 0.347516 -0.056281 0.157716 -0.361975 0.350209 -0.360269 -0.347475 -0.056322 -0.154983 -0.058082 -0.350254 -0.360309 -0.157762 -0.362069 -0.000008 -0.259537 -0.000017 0.003013
0.155028 -0.057983 0.347521 -0.056285 0.157711 -0.361972 0.350203 -0.360273 -0.347480 -0.056325 -0.154988 -0.058079 -0.350249 -0.360313 -0.157757 -0.362066 -0.000009 -0.259539 -0.000027 0.005270
0.155033 -0.057981 0.347526 -0.056289 0.157706 -0.361969 0.350198 -0.360277 -0.347485 -0.056329 -0.154993 -0.058076 -0.350244 -0.360316 -0.157752 -0.362063 -0.000009 -0.259541 -0.000012 0.007135
0.155038 -0.057978 0.347531 -0.056292 0.157701 -0.361966 0.350194 -0.360280 -0.347490 -0.056332 -0.154998 -0.058073 -0.350240 -0.360320 -0.157748 -0.362061 -0.000009 -0.259542 -0.000018 0.008612
0.155042 -0.057976 0.347535 -0.056295 0.157697 -0.361964 0.350189 -0.360283 -0.347494 -0.056335 -0.155002 -0.058071 -0.350235 -0.360323 -0.157743 -0.362058 -0.000009 -0.259543 -0.000004 0.009718
0.155046 -0.057973 0.347539 -0.056298 0.157693 -0.361962 0.350186 -0.360286 -0.347498 -0.056338 -0.155006 -0.058068 -0.350232 -0.360325 -0.157739 -0.362056 -0.000009 -0.259544 -0.000008 0.010469
0.155050 -0.057972 0.347543 -0.056300 0.157689 -0.361960 0.350182 -0.360289 -0.347502 -0.056340 -0.155010 -0.058066 -0.350228 -0.360328 -0.157736 -0.362054 -0.000009 -0.259545 0.000005 0.010885
