q torque X Z vX vZ pasEffectue 
0.035814 7225.553792 0.000476 -0.011536 0.005668 -0.069242 0
0.035814 7225.553792 0.000557 -0.012472 0.005405 -0.068676 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.043219 6406.791803 0.000557 -0.012472 0.005405 -0.068661 0
0.043219 6406.791803 0.000557 -0.012472 0.005405 -0.068661 0
0.047003 6655.612200 0.000656 -0.014368 0.003433 -0.071216 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.043219 6406.791803 0.000557 -0.012472 0.005405 -0.068661 0
0.043219 6406.791803 0.000609 -0.013420 0.003733 -0.070284 0
0.043219 6406.791803 0.000609 -0.013420 0.003733 -0.070284 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.047003 6655.612200 0.000656 -0.014368 0.003433 -0.071216 0
0.035814 7225.553792 0.000476 -0.011536 0.005668 -0.069242 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.035814 7225.553792 0.000557 -0.012472 0.005405 -0.068676 0
0.035814 7225.553792 0.000557 -0.012472 0.005405 -0.068676 0
0.043219 6406.791803 0.000557 -0.012472 0.005405 -0.068661 0
0.043219 6406.791803 0.000557 -0.012472 0.005405 -0.068661 0
0.043219 6406.791803 0.000557 -0.012472 0.005405 -0.068661 0
0.043219 6406.791803 0.000557 -0.012472 0.005405 -0.068661 0
0.043219 6406.791803 0.000557 -0.012472 0.005405 -0.068661 0
0.035814 7225.553792 0.000476 -0.011536 0.005668 -0.069242 0
0.043219 6406.791803 0.000609 -0.013420 0.003733 -0.070284 0
0.035814 7225.553792 0.000557 -0.012472 0.005405 -0.068676 0
0.043219 6406.791803 0.000557 -0.012472 0.005405 -0.068661 0
0.043219 6406.791803 0.000557 -0.012472 0.005405 -0.068661 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.043219 6406.791803 0.000609 -0.013420 0.003733 -0.070284 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.055101 6388.108069 0.000675 -0.015331 0.001829 -0.073112 0
0.047003 6655.612200 0.000656 -0.014368 0.003433 -0.071216 0
0.060219 6580.487020 0.000675 -0.015331 0.001829 -0.073121 0
0.047003 6655.612200 0.000656 -0.014368 0.003433 -0.071216 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.055101 6388.108069 0.000656 -0.014368 0.003433 -0.071215 0
0.043219 6406.791803 0.000557 -0.012472 0.005405 -0.068661 0
0.055101 6388.108069 0.000675 -0.015331 0.001829 -0.073112 0
0.043219 6406.791803 0.000609 -0.013420 0.003733 -0.070284 0
0.043219 6406.791803 0.000609 -0.013420 0.003733 -0.070284 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.043219 6406.791803 0.000557 -0.012472 0.005405 -0.068661 0
0.043219 6406.791803 0.000609 -0.013420 0.003733 -0.070284 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
0.047003 6655.612200 0.000609 -0.013420 0.003733 -0.070291 0
